run_accession	condition	is_control	drop	experiment_accession	sample_accession	submission_accession	study_accession	sample_name	sample_alias	experiment_name	experiment_alias	experiment_title	library_layout	platform	library_strategy	library_selection	study_name	study_title	study_abstract
SRR069557	D-shoot-Copper-deficient	1	0	SRX028956	SRS117450	SRA025017	SRP003864	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	GSM608536	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	GSM608536: Arabidopsis thaliana-WT-shoot-Copper-sufficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069559	shoot-Copper-deficient	0	0	SRX028957	SRS117451	SRA025017	SRP003864	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	GSM608537	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069558	shoot-Copper-deficient	0	0	SRX028957	SRS117451	SRA025017	SRP003864	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	GSM608537	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	GSM608537: Arabidopsis thaliana-WT-shoot-Copper-deficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069565	D-root-Copper-deficient	1	1	SRX028960	SRS117454	SRA025017	SRP003864	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540	NA	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069566	D-root-Copper-deficient	1	0	SRX028960	SRS117454	SRA025017	SRP003864	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069567	D-root-Copper-deficient	1	0	SRX028960	SRS117454	SRA025017	SRP003864	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	GSM608540: Arabidopsis thaliana-WT-root-Copper-sufficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069569	root-Copper-deficient	0	0	SRX028961	SRS117455	SRA025017	SRP003864	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	GSM608541	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR069568	root-Copper-deficient	0	0	SRX028961	SRS117455	SRA025017	SRP003864	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	GSM608541	NA	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	GSM608541: Arabidopsis thaliana-WT-root-Copper-deficient	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE24696	RNA-seq of Arabidopsis spl7 identifies two genes required for copper acquisition and a copper dependence of iron homeostasis	The transition metal copper (Cu) is an essential element for all living organisms. In plants, Cu plays key roles in electron transport chains of chloroplasts and mitochondria, as well as in cell wall metabolism, ethylene perception, molybdenum cofactor synthesis and oxidative stress protection. Because of its physiological importance, suboptimal concentrations of Cu trigger a re-organization of metabolism to economize on Cu, and pronounced Cu deficiency causes severe growth reduction and defects in male fertility. However, when present in excess, Cu can be highly toxic. Therefore, Cu uptake, utilization and cellular concentrations are strictly regulated. A number of components of the Cu-homeostatic network of Arabidopsis have already been identified. However, the mechanisms that control responses of plant gene expression to Cu-deficiency are only partly understood. In Chlamydomonas reinhardtii, the transcription factor Crr1 is required for activating and/or repressing the expression of a number of genes in response to Cu deficiency. This protein contains a plant-specific DNA-binding domain (SBP domain), ankyrin repeats and a C-terminal cysteine-rich region with similarity to a Drosophila metallothionein (MT). In Arabidopsis, there is a family of 16 proteins with SBP domains named SPL family (SBP-like) of which a subset of proteins have been implicated in flowering time control and floral development. Among all of them, AtSPL7 is the most similar to Crr1 (27 % identity), and AtSPL1 (25 % identity), AtSPL12 (24 % identity) and AtSPL14 (23 % identity) share a common protein architecture. The goal of this work was to obtain a complete account of the response of the Arabidopsis thaliana transcriptome to Cu deficiency, as well as  to determine the role of AtSPL7 in the transcriptional response to Cu deficiency. For this purpose, three independent experiments were carried out including Col-0 wild-type and spl7-2 mutant plants grown in Cu-sufficient and Cu-deficient hydroponic media, respectively. Root and shoot transcriptomes were established by RNA-Seq for quantitative comparisons. Overall design: Sampling of root and shoot tissues of wild-type (WT, Col-0) and spl7-2 mutant plants (the mutant is knock-down for the transcription factor SPL7, which plays a key role in the transcriptional regulation of the copper deficiency responses) cultivated hydroponically in a modified Hoagland's solution under Cu-sufficient (control) and Cu-deficient conditions.
SRR275536	female-gametophyte	0	0	SRX076053	SRS211870	SRA037865	SRP007113	GSM737033: AtLerCentralCell_wildtype_1	GSM737033	GSM737033: AtLerCentralCell_wildtype_1	GSM737033: AtLerCentralCell_wildtype_1	GSM737033: AtLerCentralCell_wildtype_1	SINGLE - 	ABI_SOLID	RNA-Seq	cDNA	GSE29719	mRNA-Seq of central cells from the Arabidopsis thaliana female gametophyte	"This dataset provides the transcriptome of the central cell of the female gametophyte from Arabidopsis thaliana. Overall design: We sequenced two biological replicates. Each replicate started with a pool of 450 central cells collected using laser-assisted microdissection (LAM). Libraries were prepared as described in DOI:10.1038/NMETH.1315. Each library was sequenced on one eight of a slide on the AB SOLiD platform (version 3). IMPORTANT: In the alignment files (.bam), we named the mitochondrial and the chloroplastidial chromosomes ChrM and ChrC. This is different from the ""chloroplast"" and ""mitochondrium"" names in the whole genome fasta file available on TAIR."
SRR275537	female-gametophyte	0	0	SRX076054	SRS211871	SRA037865	SRP007113	GSM737034: AtLerCentralCell_wildtype_2	GSM737034	GSM737034: AtLerCentralCell_wildtype_2	GSM737034: AtLerCentralCell_wildtype_2	GSM737034: AtLerCentralCell_wildtype_2	SINGLE - 	ABI_SOLID	RNA-Seq	cDNA	GSE29719	mRNA-Seq of central cells from the Arabidopsis thaliana female gametophyte	"This dataset provides the transcriptome of the central cell of the female gametophyte from Arabidopsis thaliana. Overall design: We sequenced two biological replicates. Each replicate started with a pool of 450 central cells collected using laser-assisted microdissection (LAM). Libraries were prepared as described in DOI:10.1038/NMETH.1315. Each library was sequenced on one eight of a slide on the AB SOLiD platform (version 3). IMPORTANT: In the alignment files (.bam), we named the mitochondrial and the chloroplastidial chromosomes ChrM and ChrC. This is different from the ""chloroplast"" and ""mitochondrium"" names in the whole genome fasta file available on TAIR."
SRR364677	root-hairs	0	0	SRX105928	SRS271075	SRA048118	SRP009369	NA	exp7	NA	exp7	GFP sample	PAIRED - 	ILLUMINA	RNA-Seq	cDNA	NA	Mapping Gene Activity of Arabidopsis Root Hairs	We provide an atlas of gene and protein expression in Arabidopsis root hair cells, generated by paired-end RNA-seq and LC/MS-MS analysis from protoplasts that carry the root hair-specific pEXP7-GFP reporter construct. In total, transcripts from 23,234 genes were detected in root hairs; those related to cell wall biosynthesis and translation differed most dramatically in abundance when compared to non-GFP root protoplasts.
SRR364678	root-hairs	0	0	SRX105929	SRS271076	SRA048118	SRP009369	NA	s6	NA	s6	nonGFP sample	PAIRED - 	ILLUMINA	RNA-Seq	cDNA	NA	Mapping Gene Activity of Arabidopsis Root Hairs	We provide an atlas of gene and protein expression in Arabidopsis root hair cells, generated by paired-end RNA-seq and LC/MS-MS analysis from protoplasts that carry the root hair-specific pEXP7-GFP reporter construct. In total, transcripts from 23,234 genes were detected in root hairs; those related to cell wall biosynthesis and translation differed most dramatically in abundance when compared to non-GFP root protoplasts.
SRR402994	low-GA	0	0	SRX118083	SRS290713	SRA049731	SRP010642	GSM867674: Col_PAC	GSM867674	GSM867674_1	GSM867674_1	GSM867674: Col_PAC; Arabidopsis thaliana; RNA-Seq	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE35408	Brassinosteroid, gibberellin, and phytochrome impinge on a common transcription module in Arabidopsis	Brassinosteroid (BR) and gibberellin (GA) promote many similar developmental responses in plants; but their relationship remains unclear. Here we show that BR and GA act interdependently through a direct interaction between the BR-activated BZR1 and GAinactivated DELLA transcription regulators. GA promotion of cell elongation required BR signaling, whereas BR or active BZR1 can suppresssed the GA-deficient dwarf phenotype. DELLAs directly interacted with BZR1 and inhibited BZR1-DNA binding both in vitro and in vivo. Genome-wide analysis defined a BZR1-dependent GA-regulated transcriptome, which is enriched with light-regulated genes and genes involved in cell wall synthesis and photosynthesis/chloroplast. GA promotion of hypocotyl elongation requires both BZR1 and the phytochrome interacting factors (PIFs), as well as their common downstream targets PREs. The results demonstrate that GA releases DELLA-mediated inhibition of BZR1, and that the DELLA-BZR1-PIF4 interaction defines a core transcription module that mediates coordinated growth regulation by GA, BR and light signals. Overall design: Wild type Arabidopsis and bzr1-1D were grown in media containing 1 µM PAC and 0 or 2 µM PPZ for 4.5 days in dark, then treated with 10 µM GA3 or mock solution for 12 hr. Total RNA was extracted with Spectrum Plant Total RNA Kit (Sigma) and the mRNA sequencing libraries were constructed with barcodes using TruSeqTM RNA Sample Preparation Kit (Illumina). Six barcoded libraries were pooled together and sequenced by Illumina HiSeq2000.
SRR402995	D-GA-BR	1	0	SRX118084	SRS290714	SRA049731	SRP010642	GSM867675: Col_PAC_GA	GSM867675	GSM867675_1	GSM867675_1	GSM867675: Col_PAC_GA; Arabidopsis thaliana; RNA-Seq	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE35408	Brassinosteroid, gibberellin, and phytochrome impinge on a common transcription module in Arabidopsis	Brassinosteroid (BR) and gibberellin (GA) promote many similar developmental responses in plants; but their relationship remains unclear. Here we show that BR and GA act interdependently through a direct interaction between the BR-activated BZR1 and GAinactivated DELLA transcription regulators. GA promotion of cell elongation required BR signaling, whereas BR or active BZR1 can suppresssed the GA-deficient dwarf phenotype. DELLAs directly interacted with BZR1 and inhibited BZR1-DNA binding both in vitro and in vivo. Genome-wide analysis defined a BZR1-dependent GA-regulated transcriptome, which is enriched with light-regulated genes and genes involved in cell wall synthesis and photosynthesis/chloroplast. GA promotion of hypocotyl elongation requires both BZR1 and the phytochrome interacting factors (PIFs), as well as their common downstream targets PREs. The results demonstrate that GA releases DELLA-mediated inhibition of BZR1, and that the DELLA-BZR1-PIF4 interaction defines a core transcription module that mediates coordinated growth regulation by GA, BR and light signals. Overall design: Wild type Arabidopsis and bzr1-1D were grown in media containing 1 µM PAC and 0 or 2 µM PPZ for 4.5 days in dark, then treated with 10 µM GA3 or mock solution for 12 hr. Total RNA was extracted with Spectrum Plant Total RNA Kit (Sigma) and the mRNA sequencing libraries were constructed with barcodes using TruSeqTM RNA Sample Preparation Kit (Illumina). Six barcoded libraries were pooled together and sequenced by Illumina HiSeq2000.
SRR402996	low-GA_low-BR	0	0	SRX118085	SRS290715	SRA049731	SRP010642	GSM867676: Col_PAC_PPZ	GSM867676	GSM867676_1	GSM867676_1	GSM867676: Col_PAC_PPZ; Arabidopsis thaliana; RNA-Seq	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE35408	Brassinosteroid, gibberellin, and phytochrome impinge on a common transcription module in Arabidopsis	Brassinosteroid (BR) and gibberellin (GA) promote many similar developmental responses in plants; but their relationship remains unclear. Here we show that BR and GA act interdependently through a direct interaction between the BR-activated BZR1 and GAinactivated DELLA transcription regulators. GA promotion of cell elongation required BR signaling, whereas BR or active BZR1 can suppresssed the GA-deficient dwarf phenotype. DELLAs directly interacted with BZR1 and inhibited BZR1-DNA binding both in vitro and in vivo. Genome-wide analysis defined a BZR1-dependent GA-regulated transcriptome, which is enriched with light-regulated genes and genes involved in cell wall synthesis and photosynthesis/chloroplast. GA promotion of hypocotyl elongation requires both BZR1 and the phytochrome interacting factors (PIFs), as well as their common downstream targets PREs. The results demonstrate that GA releases DELLA-mediated inhibition of BZR1, and that the DELLA-BZR1-PIF4 interaction defines a core transcription module that mediates coordinated growth regulation by GA, BR and light signals. Overall design: Wild type Arabidopsis and bzr1-1D were grown in media containing 1 µM PAC and 0 or 2 µM PPZ for 4.5 days in dark, then treated with 10 µM GA3 or mock solution for 12 hr. Total RNA was extracted with Spectrum Plant Total RNA Kit (Sigma) and the mRNA sequencing libraries were constructed with barcodes using TruSeqTM RNA Sample Preparation Kit (Illumina). Six barcoded libraries were pooled together and sequenced by Illumina HiSeq2000.
SRR402997	low-BR	1	0	SRX118086	SRS290716	SRA049731	SRP010642	GSM867677: Col_PAC_PPZ_GA	GSM867677	GSM867677_1	GSM867677_1	GSM867677: Col_PAC_PPZ_GA; Arabidopsis thaliana; RNA-Seq	SINGLE - 	ILLUMINA	RNA-Seq	cDNA	GSE35408	Brassinosteroid, gibberellin, and phytochrome impinge on a common transcription module in Arabidopsis	Brassinosteroid (BR) and gibberellin (GA) promote many similar developmental responses in plants; but their relationship remains unclear. Here we show that BR and GA act interdependently through a direct interaction between the BR-activated BZR1 and GAinactivated DELLA transcription regulators. GA promotion of cell elongation required BR signaling, whereas BR or active BZR1 can suppresssed the GA-deficient dwarf phenotype. DELLAs directly interacted with BZR1 and inhibited BZR1-DNA binding both in vitro and in vivo. Genome-wide analysis defined a BZR1-dependent GA-regulated transcriptome, which is enriched with light-regulated genes and genes involved in cell wall synthesis and photosynthesis/chloroplast. GA promotion of hypocotyl elongation requires both BZR1 and the phytochrome interacting factors (PIFs), as well as their common downstream targets PREs. The results demonstrate that GA releases DELLA-mediated inhibition of BZR1, and that the DELLA-BZR1-PIF4 interaction defines a core transcription module that mediates coordinated growth regulation by GA, BR and light signals. Overall design: Wild type Arabidopsis and bzr1-1D were grown in media containing 1 µM PAC and 0 or 2 µM PPZ for 4.5 days in dark, then treated with 10 µM GA3 or mock solution for 12 hr. Total RNA was extracted with Spectrum Plant Total RNA Kit (Sigma) and the mRNA sequencing libraries were constructed with barcodes using TruSeqTM RNA Sample Preparation Kit (Illumina). Six barcoded libraries were pooled together and sequenced by Illumina HiSeq2000.
